"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.POA","GSF2960.NOF10.POA","GSF2960.NOF11.POA","GSF2960.NOF12.POA","GSF2960.NOF2.POA","GSF2960.NOF3.POA","GSF2960.NOF4.POA","GSF2960.NOF5.POA","GSF2960.NOF6.POA","GSF2960.NOF7.POA","GSF2960.NOF8.POA","GSF2960.NOF9.POA","GSF2960.NOM1.POA","GSF2960.NOM10.POA","GSF2960.NOM11.POA","GSF2960.NOM12.POA","GSF2960.NOM2.POA","GSF2960.NOM3.POA","GSF2960.NOM4.POA","GSF2960.NOM5.POA","GSF2960.NOM6.POA","GSF2960.NOM7.POA","GSF2960.NOM8.POA","GSF2960.NOM9.POA"
"1","ENSGALG00010002251",923.392492752822,-0.473171542030969,0.112679326311149,-4.1992755683005,2.67770285299598e-05,0.0219570245322091,1164,737,1028,870,961,1004,823,1007,817,1083,1041,814,1066,899,1440,830,904,1150,457,819,1091,863,714,805
"2","ENSGALG00010005045",1675.44116442212,-0.380303549889653,0.0860171737590782,-4.42125139980568,9.81309205577617e-06,0.0118758040059003,1823,1272,2015,2085,1689,1284,1448,1538,1875,1785,1915,1480,2203,1999,1815,1379,1596,2414,1244,1408,1987,1566,1198,1658
"3","ENSGALG00010005556",14.5011186153524,-2.65968646896211,0.51952803460128,-5.11942819602281,3.06463422603698e-07,0.000927205085087487,3,3,3,10,6,3,4,3,4,3,3,13,31,33,84,26,8,54,0,8,7,31,6,8
"4","ENSGALG00010005724",585.045461043972,-0.470496787140337,0.112477838900039,-4.18301766589308,2.87665029036563e-05,0.0219570245322091,631,425,729,859,537,427,576,535,671,646,533,568,772,694,678,608,491,817,328,545,560,559,455,557
"5","ENSGALG00010007986",161.859959978102,0.911267675241882,0.171266625120008,5.32075455216887,1.03337745443461e-07,0.000417027250653857,235,215,183,193,164,113,138,107,172,200,250,176,98,103,117,101,248,104,176,259,149,97,177,142
"6","ENSGALG00010008094",850.702400524821,0.364136877713386,0.0843359978342277,4.31769217255412,1.57669114695119e-05,0.0173464693276394,1011,758,897,937,1031,565,667,798,901,907,947,961,735,678,981,625,1100,810,907,944,935,658,877,961
"7","ENSGALG00010008429",181.603251069411,-0.779185978010359,0.156024408672072,-4.9940005198035,5.91412381609961e-07,0.00119287877370729,157,140,180,173,164,105,138,145,169,188,169,218,315,233,329,278,169,261,81,140,171,157,143,184
"8","ENSGALG00010010094",343.637949747987,-0.923676089191367,0.152642232564945,-6.05124855467748,1.43727487601958e-09,1.7393900549589e-05,267,249,382,396,300,249,288,262,367,286,326,322,503,598,540,420,275,594,119,304,309,403,256,310
"9","ENSGALG00010010449",38.2931195286994,-2.35455094479548,0.496870029136679,-4.7387662904252,2.15023325504852e-06,0.00371744612179959,23,30,43,18,36,15,87,70,22,27,23,26,55,36,170,20,9,97,8,16,22,49,10,17
"10","ENSGALG00010012236",26.3875425143052,2.36600861406495,0.583754266224534,4.05309006025301,5.05455327977028e-05,0.0321948441009368,44,61,20,14,24,7,12,1,25,10,68,9,11,5,14,11,61,3,28,68,20,10,76,32
"11","ENSGALG00010013635",1587.70402101577,0.8095878378665,0.152158615183111,5.32068353074996,1.03378098823465e-07,0.000417027250653857,2056,1760,1856,2090,1621,1319,1769,1824,1515,2233,1928,1958,1191,938,899,895,2095,911,1596,1986,1920,726,1209,2210
"12","ENSGALG00010016476",3414.7088720103,1.2995402196731,0.288840114638147,4.49916806500765,6.82199095733668e-06,0.0103199668207111,3104,5215,7513,3599,6421,2774,5483,2457,4320,3798,6057,3956,950,1499,2280,1347,2047,1298,2006,6371,1701,1242,3891,3527
"13","ENSGALG00010016850",112.529345839863,-1.2284493342038,0.242241138013685,-5.07118379758602,3.95348716336646e-07,0.000956902033021217,59,78,98,90,97,105,66,68,118,106,60,86,142,206,299,148,56,227,50,83,93,174,95,99
"14","ENSGALG00010017593",1015.09934905343,0.244437763200691,0.0582477378478271,4.19651942259608,2.71048227374229e-05,0.0219570245322091,1260,955,1140,1186,1090,796,979,1013,1295,1248,1356,1178,936,862,938,776,1202,869,778,1066,914,794,982,1004
"15","ENSGALG00010017635",36.0628844668183,0.908961400759887,0.223695860685624,4.06338051126175,4.83670868809649e-05,0.0321948441009368,43,33,48,24,33,35,25,49,39,32,34,27,31,27,28,22,39,29,30,88,29,27,44,55
"16","ENSGALG00010019982",545.824328439047,-0.360892165868044,0.084453577419979,-4.27326084806762,1.92634879061908e-05,0.0194272275533934,674,400,602,625,529,393,429,618,603,532,647,509,649,613,719,527,451,674,389,468,564,581,440,600
"17","ENSGALG00010023276",840.223132448742,-0.321275221855692,0.0721976263951204,-4.44994161023285,8.589363875987e-06,0.0115498312919105,1005,740,920,1013,771,672,752,932,1060,930,908,864,934,1036,905,707,747,985,485,797,949,779,652,854
"18","ENSGALG00010023832",494.622176232748,-0.70827811280074,0.172501266252813,-4.10592993423427,4.0269153851632e-05,0.0286668999948501,478,389,623,499,494,436,631,516,600,765,412,554,645,589,761,485,397,607,171,427,349,464,298,409
"19","ENSGALG00010029165",1033.49976873217,0.339408231301697,0.0811796784383092,4.18095067424569,2.90292837973348e-05,0.0219570245322091,1086,1040,1102,1033,1091,799,833,1029,1142,1208,1129,1218,910,922,1145,758,1152,921,794,1531,1065,818,939,1408
