,SexStage,Brain.Region,Sex,Stage
GSF2960.NOF1.POA,Female,POA,Female,Female
GSF2960.NOF10.POA,Female,POA,Female,Female
GSF2960.NOF11.POA,Female,POA,Female,Female
GSF2960.NOF12.POA,Female,POA,Female,Female
GSF2960.NOF2.POA,Female,POA,Female,Female
GSF2960.NOF3.POA,Female,POA,Female,Female
GSF2960.NOF4.POA,Female,POA,Female,Female
GSF2960.NOF5.POA,Female,POA,Female,Female
GSF2960.NOF6.POA,Female,POA,Female,Female
GSF2960.NOF7.POA,Female,POA,Female,Female
GSF2960.NOF8.POA,Female,POA,Female,Female
GSF2960.NOF9.POA,Female,POA,Female,Female
GSF2960.NOM1.POA,MaleP,POA,Male,Parenting
GSF2960.NOM10.POA,MaleP,POA,Male,Parenting
GSF2960.NOM11.POA,MaleP,POA,Male,Parenting
GSF2960.NOM12.POA,MaleP,POA,Male,Parenting
GSF2960.NOM2.POA,MaleC,POA,Male,Courting
GSF2960.NOM3.POA,MaleP,POA,Male,Parenting
GSF2960.NOM4.POA,MaleC,POA,Male,Courting
GSF2960.NOM5.POA,MaleC,POA,Male,Courting
GSF2960.NOM6.POA,MaleP,POA,Male,Parenting
GSF2960.NOM7.POA,MaleP,POA,Male,Parenting
GSF2960.NOM8.POA,MaleC,POA,Male,Courting
GSF2960.NOM9.POA,MaleC,POA,Male,Courting
GSF2960.NOF1.TnA,Female,TnA,Female,Female
GSF2960.NOF10.TnA,Female,TnA,Female,Female
GSF2960.NOF11.TnA,Female,TnA,Female,Female
GSF2960.NOF12.TnA,Female,TnA,Female,Female
GSF2960.NOF2.TnA,Female,TnA,Female,Female
GSF2960.NOF3.TnA,Female,TnA,Female,Female
GSF2960.NOF4.TnA,Female,TnA,Female,Female
GSF2960.NOF5.TnA,Female,TnA,Female,Female
GSF2960.NOF6.TnA,Female,TnA,Female,Female
GSF2960.NOF7.TnA,Female,TnA,Female,Female
GSF2960.NOF8.TnA,Female,TnA,Female,Female
GSF2960.NOF9.TnA,Female,TnA,Female,Female
GSF2960.NOM1.TnA,MaleP,TnA,Male,Parenting
GSF2960.NOM10.TnA,MaleP,TnA,Male,Parenting
GSF2960.NOM11.TnA,MaleP,TnA,Male,Parenting
GSF2960.NOM12.TnA,MaleP,TnA,Male,Parenting
GSF2960.NOM2.TnA,MaleC,TnA,Male,Courting
GSF2960.NOM3.TnA,MaleP,TnA,Male,Parenting
GSF2960.NOM4.TnA,MaleC,TnA,Male,Courting
GSF2960.NOM5.TnA,MaleC,TnA,Male,Courting
GSF2960.NOM6.TnA,MaleP,TnA,Male,Parenting
GSF2960.NOM7.TnA,MaleP,TnA,Male,Parenting
GSF2960.NOM8.TnA,MaleC,TnA,Male,Courting
GSF2960.NOM9.TnA,MaleC,TnA,Male,Courting
